"","id","degree","group","label","origin","direction","shape","study","tissue","cell"
"Fgfr217","Fgfr2",3,"no data","Fgfr2","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Pdgfb7","Pdgfb",2,"no data","Pdgfb","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Nrg31","Nrg3",1,"no data","Nrg3","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Crebbp30","Crebbp",1,"no data","Crebbp","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Gria1","Gria1",1,"no data","Gria1","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Gria2","Gria2",3,"no data","Gria2","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Plcg26","Plcg2",7,"no data","Plcg2","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"NICHE95","NICHE",8,"no data","NICHE","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Jazf13","Jazf1",1,"downregulated","Jazf1","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Hivep230","Hivep2",2,"downregulated","Hivep2","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Zfpm219","Zfpm2",1,"downregulated","Zfpm2","Mapk14","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Mef2a112","Mef2a",2,"no data","Mef2a","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Nfkb133","Nfkb1",3,"no data","Nfkb1","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Mitf112","Mitf",2,"no data","Mitf","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Prkca113","Prkca",8,"no data","Prkca","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Lyn112","Lyn",10,"no data","Lyn","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Mapk14114","Mapk14",4,"no data","Mapk14","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"App15","App",4,"int","App","App","vis_net_I","square","Parabiosis2","Brain","Mgl"
"Crebbp113","Crebbp",1,"no data","Crebbp","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"NICHE139","NICHE",8,"no data","NICHE","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Jazf111","Jazf1",1,"downregulated","Jazf1","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Hivep2115","Hivep2",2,"downregulated","Hivep2","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Zfpm2110","Zfpm2",1,"downregulated","Zfpm2","App","vis_net_I","circle","Parabiosis2","Brain","Mgl"
"Esr115","Esr1",3,"no data","Esr1","Mapk14","vis_net_A","circle","Parabiosis2","Liver","Cho"
"Egfr16","Egfr",28,"no data","Egfr","Mapk14","vis_net_A","circle","Parabiosis2","Liver","Cho"
"Mapk1430","Mapk14",2,"int","Mapk14","Mapk14","vis_net_A","square","Parabiosis2","Liver","Cho"
"Vegfa4","Vegfa",9,"no data","Vegfa","Mapk14","vis_net_A","circle","Parabiosis2","Liver","Cho"
"NICHE96","NICHE",23,"no data","NICHE","Mapk14","vis_net_A","circle","Parabiosis2","Liver","Cho"
"Zbtb2039","Zbtb20",1,"downregulated","Zbtb20","Mapk14","vis_net_A","circle","Parabiosis2","Liver","Cho"
"Esr11","Esr1",3,"no data","Esr1","Egfr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr17","Egfr",28,"int","Egfr","Egfr","vis_net_I","square","Parabiosis2","Liver","Cho"
"NICHE140","NICHE",23,"no data","NICHE","Egfr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb20119","Zbtb20",1,"downregulated","Zbtb20","Egfr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr12","Esr1",3,"no data","Esr1","Fgfr2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Prkca28","Prkca",6,"no data","Prkca","Fgfr2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Plcb12","Plcb1",15,"no data","Plcb1","Fgfr2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr21","Egfr",28,"no data","Egfr","Fgfr2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3ca11","Pik3ca",8,"no data","Pik3ca","Fgfr2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Fgfr218","Fgfr2",11,"int","Fgfr2","Fgfr2","vis_net_I","square","Parabiosis2","Liver","Cho"
"Pik3r125","Pik3r1",23,"no data","Pik3r1","Fgfr2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"NICHE227","NICHE",23,"no data","NICHE","Fgfr2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb20212","Zbtb20",1,"downregulated","Zbtb20","Fgfr2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr13","Esr1",3,"no data","Esr1","Prkca","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Prkca114","Prkca",6,"int","Prkca","Prkca","vis_net_I","square","Parabiosis2","Liver","Cho"
"Egfr31","Egfr",28,"no data","Egfr","Prkca","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Erbb46","Erbb4",6,"no data","Erbb4","Prkca","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Chrm31","Chrm3",2,"no data","Chrm3","Prkca","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Fgfr219","Fgfr2",11,"no data","Fgfr2","Prkca","vis_net_I","circle","Parabiosis2","Liver","Cho"
"NICHE322","NICHE",23,"no data","NICHE","Prkca","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb20310","Zbtb20",1,"downregulated","Zbtb20","Prkca","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr14","Esr1",3,"no data","Esr1","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Ptk218","Ptk2",9,"int","Ptk2","Ptk2","vis_net_I","square","Parabiosis2","Liver","Cho"
"Egfr4","Egfr",28,"no data","Egfr","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Fn14","Fn1",6,"no data","Fn1","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Fga","Fga",4,"no data","Fga","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Igf1","Igf1",7,"no data","Igf1","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Fgg","Fgg",6,"no data","Fgg","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Angpt1","Angpt1",3,"no data","Angpt1","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Fgb","Fgb",5,"no data","Fgb","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Gfra1","Gfra1",1,"no data","Gfra1","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"NICHE419","NICHE",23,"no data","NICHE","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2045","Zbtb20",1,"downregulated","Zbtb20","Ptk2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr15","Esr1",3,"no data","Esr1","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr5","Egfr",28,"no data","Egfr","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3ca12","Pik3ca",8,"no data","Pik3ca","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3r1111","Pik3r1",23,"no data","Pik3r1","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Sdc210","Sdc2",3,"no data","Sdc2","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Apoe","Apoe",8,"no data","Apoe","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Apob","Apob",8,"int","Apob","Apob","vis_net_I","square","Parabiosis2","Liver","Cho"
"Lrp1","Lrp1",8,"no data","Lrp1","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Ldlr","Ldlr",4,"no data","Ldlr","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"NICHE517","NICHE",23,"no data","NICHE","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2054","Zbtb20",1,"downregulated","Zbtb20","Apob","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr16","Esr1",3,"no data","Esr1","Apoe","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr6","Egfr",28,"no data","Egfr","Apoe","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3ca2","Pik3ca",8,"no data","Pik3ca","Apoe","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3r126","Pik3r1",23,"no data","Pik3r1","Apoe","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Sdc211","Sdc2",3,"no data","Sdc2","Apoe","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Apoe1","Apoe",8,"int","Apoe","Apoe","vis_net_I","square","Parabiosis2","Liver","Cho"
"Lrp11","Lrp1",8,"no data","Lrp1","Apoe","vis_net_I","circle","Parabiosis2","Liver","Cho"
"NICHE615","NICHE",23,"no data","NICHE","Apoe","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2063","Zbtb20",1,"downregulated","Zbtb20","Apoe","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr17","Esr1",3,"no data","Esr1","Fn1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr7","Egfr",28,"no data","Egfr","Fn1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Fn11","Fn1",6,"int","Fn1","Fn1","vis_net_I","square","Parabiosis2","Liver","Cho"
"Igf11","Igf1",7,"no data","Igf1","Fn1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Angpt11","Angpt1",3,"no data","Angpt1","Fn1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"NICHE711","NICHE",23,"no data","NICHE","Fn1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2072","Zbtb20",1,"downregulated","Zbtb20","Fn1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr18","Esr1",3,"no data","Esr1","Vegfa","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr8","Egfr",28,"no data","Egfr","Vegfa","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Vegfa1","Vegfa",9,"int","Vegfa","Vegfa","vis_net_I","square","Parabiosis2","Liver","Cho"
"NICHE810","NICHE",23,"no data","NICHE","Vegfa","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2082","Zbtb20",1,"downregulated","Zbtb20","Vegfa","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr19","Esr1",3,"no data","Esr1","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr9","Egfr",28,"no data","Egfr","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3ca3","Pik3ca",8,"no data","Pik3ca","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3r132","Pik3r1",23,"no data","Pik3r1","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Sdc221","Sdc2",3,"no data","Sdc2","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Abca1","Abca1",2,"int","Abca1","Abca1","vis_net_I","square","Parabiosis2","Liver","Cho"
"Apoa1","Apoa1",8,"no data","Apoa1","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Apoe2","Apoe",8,"no data","Apoe","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Lrp12","Lrp1",8,"no data","Lrp1","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"NICHE97","NICHE",23,"no data","NICHE","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2091","Zbtb20",1,"downregulated","Zbtb20","Abca1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr110","Esr1",3,"no data","Esr1","Cdh2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr10","Egfr",28,"no data","Egfr","Cdh2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3ca4","Pik3ca",8,"no data","Pik3ca","Cdh2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3r141","Pik3r1",23,"no data","Pik3r1","Cdh2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Cdh23","Cdh2",4,"int","Cdh2","Cdh2","vis_net_I","square","Parabiosis2","Liver","Cho"
"NICHE103","NICHE",23,"no data","NICHE","Cdh2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2010","Zbtb20",1,"downregulated","Zbtb20","Cdh2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr111","Esr1",3,"int","Esr1","Esr1","vis_net_I","square","Parabiosis2","Liver","Cho"
"NICHE1112","NICHE",23,"no data","NICHE","Esr1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2011","Zbtb20",1,"downregulated","Zbtb20","Esr1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr112","Esr1",3,"no data","Esr1","Ldlr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr11","Egfr",28,"no data","Egfr","Ldlr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3ca5","Pik3ca",8,"no data","Pik3ca","Ldlr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3r151","Pik3r1",23,"no data","Pik3r1","Ldlr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Sdc231","Sdc2",3,"no data","Sdc2","Ldlr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Apoe3","Apoe",8,"no data","Apoe","Ldlr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Lrp13","Lrp1",8,"no data","Lrp1","Ldlr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Ldlr1","Ldlr",4,"int","Ldlr","Ldlr","vis_net_I","square","Parabiosis2","Liver","Cho"
"NICHE1211","NICHE",23,"no data","NICHE","Ldlr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2012","Zbtb20",1,"downregulated","Zbtb20","Ldlr","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr113","Esr1",3,"no data","Esr1","Lrp1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr12","Egfr",28,"no data","Egfr","Lrp1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3ca6","Pik3ca",8,"no data","Pik3ca","Lrp1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3r161","Pik3r1",23,"no data","Pik3r1","Lrp1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Sdc241","Sdc2",3,"no data","Sdc2","Lrp1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Lrp14","Lrp1",8,"int","Lrp1","Lrp1","vis_net_I","square","Parabiosis2","Liver","Cho"
"NICHE1310","NICHE",23,"no data","NICHE","Lrp1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2013","Zbtb20",1,"downregulated","Zbtb20","Lrp1","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Esr114","Esr1",3,"no data","Esr1","Sdc2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Egfr13","Egfr",28,"no data","Egfr","Sdc2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3ca7","Pik3ca",8,"no data","Pik3ca","Sdc2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Pik3r171","Pik3r1",23,"no data","Pik3r1","Sdc2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Sdc251","Sdc2",3,"int","Sdc2","Sdc2","vis_net_I","square","Parabiosis2","Liver","Cho"
"NICHE14","NICHE",23,"no data","NICHE","Sdc2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Zbtb2014","Zbtb20",1,"downregulated","Zbtb20","Sdc2","vis_net_I","circle","Parabiosis2","Liver","Cho"
"Foxo110","Foxo1",5,"no data","Foxo1","Chuk","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Prkce10","Prkce",18,"no data","Prkce","Chuk","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Crebbp35","Crebbp",6,"no data","Crebbp","Chuk","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Chuk","Chuk",1,"int","Chuk","Chuk","vis_net_A","square","Parabiosis2","Liver","Endoth"
"NICHE98","NICHE",25,"no data","NICHE","Chuk","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Foxn318","Foxn3",2,"upregulated","Foxn3","Chuk","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Foxo112","Foxo1",5,"no data","Foxo1","Adcy9","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Egfr18","Egfr",22,"no data","Egfr","Adcy9","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Mapk1434","Mapk14",5,"no data","Mapk14","Adcy9","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Pik3r127","Pik3r1",23,"no data","Pik3r1","Adcy9","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Rapgef4","Rapgef4",1,"no data","Rapgef4","Adcy9","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Jak129","Jak1",12,"no data","Jak1","Adcy9","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Adcy9","Adcy9",2,"int","Adcy9","Adcy9","vis_net_A","square","Parabiosis2","Liver","Endoth"
"NICHE141","NICHE",25,"no data","NICHE","Adcy9","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Foxn319","Foxn3",2,"upregulated","Foxn3","Adcy9","vis_net_A","circle","Parabiosis2","Liver","Endoth"
"Foxo122","Foxo1",5,"no data","Foxo1","Gsk3b","vis_net_I","circle","Parabiosis2","Liver","Endoth"
"Nr3c128","Nr3c1",4,"no data","Nr3c1","Gsk3b","vis_net_I","circle","Parabiosis2","Liver","Endoth"
"Fyn12","Fyn",9,"no data","Fyn","Gsk3b","vis_net_I","circle","Parabiosis2","Liver","Endoth"
"Pten4","Pten",4,"no data","Pten","Gsk3b","vis_net_I","circle","Parabiosis2","Liver","Endoth"
"Gsk3b26","Gsk3b",5,"int","Gsk3b","Gsk3b","vis_net_I","square","Parabiosis2","Liver","Endoth"
"Pik3r1112","Pik3r1",23,"no data","Pik3r1","Gsk3b","vis_net_I","circle","Parabiosis2","Liver","Endoth"
"Lrp63","Lrp6",2,"no data","Lrp6","Gsk3b","vis_net_I","circle","Parabiosis2","Liver","Endoth"
"Crebbp114","Crebbp",6,"no data","Crebbp","Gsk3b","vis_net_I","circle","Parabiosis2","Liver","Endoth"
"NICHE228","NICHE",25,"no data","NICHE","Gsk3b","vis_net_I","circle","Parabiosis2","Liver","Endoth"
"Foxn324","Foxn3",2,"upregulated","Foxn3","Gsk3b","vis_net_I","circle","Parabiosis2","Liver","Endoth"
"Atf4","Atf4",3,"no data","Atf4","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Stat326","Stat3",6,"no data","Stat3","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Fos25","Fos",5,"no data","Fos","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Elf12","Elf1",1,"no data","Elf1","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Jund8","Jund",1,"no data","Jund","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Ppp2ca2","Ppp2ca",3,"no data","Ppp2ca","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Rhoa25","Rhoa",21,"no data","Rhoa","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Hsp90aa120","Hsp90aa1",7,"int","Hsp90aa1","Hsp90aa1","vis_net_A","square","Parabiosis2","LSK","Granulocyte"
"Ppp1cb2","Ppp1cb",1,"no data","Ppp1cb","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Mapk1435","Mapk14",4,"no data","Mapk14","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Rac126","Rac1",8,"no data","Rac1","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Braf2","Braf",6,"no data","Braf","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Kras9","Kras",5,"no data","Kras","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Ywhae1","Ywhae",3,"no data","Ywhae","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Jak130","Jak1",4,"no data","Jak1","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Ncf2","Ncf2",3,"no data","Ncf2","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Cyba","Cyba",1,"no data","Cyba","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"NICHE99","NICHE",13,"no data","NICHE","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Hivep235","Hivep2",1,"upregulated","Hivep2","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Csrnp122","Csrnp1",1,"upregulated","Csrnp1","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Tsc22d28","Tsc22d2",1,"upregulated","Tsc22d2","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Foxn320","Foxn3",1,"upregulated","Foxn3","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Tcf15","Tcf15",1,"upregulated","Tcf15","Hsp90aa1","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Atf41","Atf4",3,"no data","Atf4","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Stat3113","Stat3",6,"no data","Stat3","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Cebpb8","Cebpb",2,"no data","Cebpb","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Fos113","Fos",5,"no data","Fos","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Elf111","Elf1",1,"no data","Elf1","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Jund12","Jund",1,"no data","Jund","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Ppp2ca11","Ppp2ca",3,"no data","Ppp2ca","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Rhoa111","Rhoa",21,"no data","Rhoa","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Prkce12","Prkce",4,"no data","Prkce","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Ppp1cb1","Ppp1cb",1,"no data","Ppp1cb","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Mapk14115","Mapk14",4,"no data","Mapk14","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Gnai215","Gnai2",7,"int","Gnai2","Gnai2","vis_net_A","square","Parabiosis2","LSK","Granulocyte"
"NICHE142","NICHE",13,"no data","NICHE","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Hivep2116","Hivep2",1,"upregulated","Hivep2","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Csrnp1111","Csrnp1",1,"upregulated","Csrnp1","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Tsc22d212","Tsc22d2",1,"upregulated","Tsc22d2","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Foxn3110","Foxn3",1,"upregulated","Foxn3","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Tcf151","Tcf15",1,"upregulated","Tcf15","Gnai2","vis_net_A","circle","Parabiosis2","LSK","Granulocyte"
"Jun39","Jun",13,"no data","Jun","Akt3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Grb224","Grb2",29,"no data","Grb2","Akt3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Hsp90aa123","Hsp90aa1",5,"no data","Hsp90aa1","Akt3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Akt39","Akt3",11,"int","Akt3","Akt3","vis_net_A","square","Parabiosis2","LSK","Mzb"
"NICHE100","NICHE",36,"no data","NICHE","Akt3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Hmgb116","Hmgb1",2,"downregulated","Hmgb1","Akt3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Stat327","Stat3",4,"no data","Stat3","Blk","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Ptk2b10","Ptk2b",8,"no data","Ptk2b","Blk","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Ptpn610","Ptpn6",6,"no data","Ptpn6","Blk","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"S1pr12","S1pr1",2,"no data","S1pr1","Blk","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Blk","Blk",15,"int","Blk","Blk","vis_net_A","square","Parabiosis2","LSK","Mzb"
"Cd79a3","Cd79a",11,"no data","Cd79a","Blk","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Cd79b3","Cd79b",15,"no data","Cd79b","Blk","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"NICHE143","NICHE",36,"no data","NICHE","Blk","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Hmgb117","Hmgb1",2,"downregulated","Hmgb1","Blk","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Stat3114","Stat3",4,"no data","Stat3","Lyn","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Jun117","Jun",13,"no data","Jun","Lyn","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Ptprc14","Ptprc",5,"no data","Ptprc","Lyn","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Lyn30","Lyn",16,"int","Lyn","Lyn","vis_net_A","square","Parabiosis2","LSK","Mzb"
"Ptk2b14","Ptk2b",8,"no data","Ptk2b","Lyn","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Ptpn612","Ptpn6",6,"no data","Ptpn6","Lyn","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"S1pr11","S1pr1",2,"no data","S1pr1","Lyn","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"NICHE229","NICHE",36,"no data","NICHE","Lyn","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Hmgb121","Hmgb1",2,"downregulated","Hmgb1","Lyn","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Stat328","Stat3",4,"no data","Stat3","Traf3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Jun212","Jun",13,"no data","Jun","Traf3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Grb2112","Grb2",29,"no data","Grb2","Traf3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Syk8","Syk",7,"no data","Syk","Traf3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Ubc1","Ubc",45,"no data","Ubc","Traf3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Fbxw7","Fbxw7",5,"no data","Fbxw7","Traf3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
"Traf32","Traf3",5,"int","Traf3","Traf3","vis_net_A","square","Parabiosis2","LSK","Mzb"
"Ubb1","Ubb",41,"no data","Ubb","Traf3","vis_net_A","circle","Parabiosis2","LSK","Mzb"
